Task,Description,episode,contestant,score,series
3,Create the best new way to remember how many days each of the months has.,Episode 3: Run up a tree to the moon. (1 April 2021),Jamali Maddix,4,11
3,Create the best new way to remember how many days each of the months has.,Episode 3: Run up a tree to the moon. (1 April 2021),Lee Mack,1,11
3,Create the best new way to remember how many days each of the months has.,Episode 3: Run up a tree to the moon. (1 April 2021),Mike Wozniak,2,11
3,Create the best new way to remember how many days each of the months has.,Episode 3: Run up a tree to the moon. (1 April 2021),Sarah Kendall,5,11
4,"Get all of your luggage through security. You must stay inside the maze until your luggage has been through the x-ray machine. You may go under one rope, and release one rope. You may also disconnect one pole completely, but you must then pick up that pole and carry it for the rest of the task. If any of your luggage touches any of the barriers, the maze will restart and you must start again.",Episode 3: Run up a tree to the moon. (1 April 2021),Charlotte Ritchie,DQ,11
4,"Get all of your luggage through security. You must stay inside the maze until your luggage has been through the x-ray machine. You may go under one rope, and release one rope. You may also disconnect one pole completely, but you must then pick up that pole and carry it for the rest of the task. If any of your luggage touches any of the barriers, the maze will restart and you must start again.",Episode 3: Run up a tree to the moon. (1 April 2021),Jamali Maddix,DQ,11
4,"Get all of your luggage through security. You must stay inside the maze until your luggage has been through the x-ray machine. You may go under one rope, and release one rope. You may also disconnect one pole completely, but you must then pick up that pole and carry it for the rest of the task. If any of your luggage touches any of the barriers, the maze will restart and you must start again.",Episode 3: Run up a tree to the moon. (1 April 2021),Lee Mack,5,11
4,"Get all of your luggage through security. You must stay inside the maze until your luggage has been through the x-ray machine. You may go under one rope, and release one rope. You may also disconnect one pole completely, but you must then pick up that pole and carry it for the rest of the task. If any of your luggage touches any of the barriers, the maze will restart and you must start again.",Episode 3: Run up a tree to the moon. (1 April 2021),Mike Wozniak,DQ,11
4,"Get all of your luggage through security. You must stay inside the maze until your luggage has been through the x-ray machine. You may go under one rope, and release one rope. You may also disconnect one pole completely, but you must then pick up that pole and carry it for the rest of the task. If any of your luggage touches any of the barriers, the maze will restart and you must start again.",Episode 3: Run up a tree to the moon. (1 April 2021),Sarah Kendall,4,11
5,Team Live: Act out a nursery rhyme for the Taskmaster to guess. You must remain silent and on your spots throughout.,Episode 3: Run up a tree to the moon. (1 April 2021),Charlotte Ritchie,3,11
5,Team Live: Act out a nursery rhyme for the Taskmaster to guess. You must remain silent and on your spots throughout.,Episode 3: Run up a tree to the moon. (1 April 2021),Jamali Maddix,3,11
5,Team Live: Act out a nursery rhyme for the Taskmaster to guess. You must remain silent and on your spots throughout.,Episode 3: Run up a tree to the moon. (1 April 2021),Lee Mack,5,11
5,Team Live: Act out a nursery rhyme for the Taskmaster to guess. You must remain silent and on your spots throughout.,Episode 3: Run up a tree to the moon. (1 April 2021),Mike Wozniak,5,11
5,Team Live: Act out a nursery rhyme for the Taskmaster to guess. You must remain silent and on your spots throughout.,Episode 3: Run up a tree to the moon. (1 April 2021),Sarah Kendall,3,11
1,Prize: Craziest thing.,Episode 4: Premature conker. (8 April 2021),Charlotte Ritchie,4,11
1,Prize: Craziest thing.,Episode 4: Premature conker. (8 April 2021),Jamali Maddix,3,11
1,Prize: Craziest thing.,Episode 4: Premature conker. (8 April 2021),Lee Mack,1,11
1,Prize: Craziest thing.,Episode 4: Premature conker. (8 April 2021),Mike Wozniak,4,11
1,Prize: Craziest thing.,Episode 4: Premature conker. (8 April 2021),Sarah Kendall,5,11
2,Get all of the banana in the bottle. You may not break the bottle. The bottle may not leave the lab.,Episode 4: Premature conker. (8 April 2021),Charlotte Ritchie,1,11
2,Get all of the banana in the bottle. You may not break the bottle. The bottle may not leave the lab.,Episode 4: Premature conker. (8 April 2021),Jamali Maddix,3,11
2,Get all of the banana in the bottle. You may not break the bottle. The bottle may not leave the lab.,Episode 4: Premature conker. (8 April 2021),Lee Mack,4,11
2,Get all of the banana in the bottle. You may not break the bottle. The bottle may not leave the lab.,Episode 4: Premature conker. (8 April 2021),Mike Wozniak,DQ,11
2,Get all of the banana in the bottle. You may not break the bottle. The bottle may not leave the lab.,Episode 4: Premature conker. (8 April 2021),Sarah Kendall,5,11
3,"Team: Put the bag of salt on that table over there. No one may move whilst holding the bag of salt. If the bag of salt touches the ground at any point, you must return to your starting point. If any bell touches the ground at any point, you must return to your starting point. You may not touch the rope or your belts.",Episode 4: Premature conker. (8 April 2021),Charlotte Ritchie,5,11
3,"Team: Put the bag of salt on that table over there. No one may move whilst holding the bag of salt. If the bag of salt touches the ground at any point, you must return to your starting point. If any bell touches the ground at any point, you must return to your starting point. You may not touch the rope or your belts.",Episode 4: Premature conker. (8 April 2021),Jamali Maddix,5,11
3,"Team: Put the bag of salt on that table over there. No one may move whilst holding the bag of salt. If the bag of salt touches the ground at any point, you must return to your starting point. If any bell touches the ground at any point, you must return to your starting point. You may not touch the rope or your belts.",Episode 4: Premature conker. (8 April 2021),Lee Mack,DQ,11
3,"Team: Put the bag of salt on that table over there. No one may move whilst holding the bag of salt. If the bag of salt touches the ground at any point, you must return to your starting point. If any bell touches the ground at any point, you must return to your starting point. You may not touch the rope or your belts.",Episode 4: Premature conker. (8 April 2021),Mike Wozniak,DQ,11
3,"Team: Put the bag of salt on that table over there. No one may move whilst holding the bag of salt. If the bag of salt touches the ground at any point, you must return to your starting point. If any bell touches the ground at any point, you must return to your starting point. You may not touch the rope or your belts.",Episode 4: Premature conker. (8 April 2021),Sarah Kendall,5,11
4,Get this sheet of loo roll as far from here as possible. Only this sheet of loo roll may touch the ground. The loo roll must not break at any point and the loo roll inner tube must stay on the loo roll holder at all times.,Episode 4: Premature conker. (8 April 2021),Charlotte Ritchie,DQ,11
4,Get this sheet of loo roll as far from here as possible. Only this sheet of loo roll may touch the ground. The loo roll must not break at any point and the loo roll inner tube must stay on the loo roll holder at all times.,Episode 4: Premature conker. (8 April 2021),Jamali Maddix,5,11
4,Get this sheet of loo roll as far from here as possible. Only this sheet of loo roll may touch the ground. The loo roll must not break at any point and the loo roll inner tube must stay on the loo roll holder at all times.,Episode 4: Premature conker. (8 April 2021),Lee Mack,DQ,11
4,Get this sheet of loo roll as far from here as possible. Only this sheet of loo roll may touch the ground. The loo roll must not break at any point and the loo roll inner tube must stay on the loo roll holder at all times.,Episode 4: Premature conker. (8 April 2021),Mike Wozniak,DQ,11
4,Get this sheet of loo roll as far from here as possible. Only this sheet of loo roll may touch the ground. The loo roll must not break at any point and the loo roll inner tube must stay on the loo roll holder at all times.,Episode 4: Premature conker. (8 April 2021),Sarah Kendall,4,11
5,Live: Write down what five things are in the bowl under the table and how many of each thing there are. You must look at the Taskmaster throughout this task. One of your hands must be in the bowl and the other must be holding your pen throughout the task.,Episode 4: Premature conker. (8 April 2021),Charlotte Ritchie,3,11
5,Live: Write down what five things are in the bowl under the table and how many of each thing there are. You must look at the Taskmaster throughout this task. One of your hands must be in the bowl and the other must be holding your pen throughout the task.,Episode 4: Premature conker. (8 April 2021),Jamali Maddix,5,11
5,Live: Write down what five things are in the bowl under the table and how many of each thing there are. You must look at the Taskmaster throughout this task. One of your hands must be in the bowl and the other must be holding your pen throughout the task.,Episode 4: Premature conker. (8 April 2021),Lee Mack,2,11
5,Live: Write down what five things are in the bowl under the table and how many of each thing there are. You must look at the Taskmaster throughout this task. One of your hands must be in the bowl and the other must be holding your pen throughout the task.,Episode 4: Premature conker. (8 April 2021),Mike Wozniak,2,11
5,Live: Write down what five things are in the bowl under the table and how many of each thing there are. You must look at the Taskmaster throughout this task. One of your hands must be in the bowl and the other must be holding your pen throughout the task.,Episode 4: Premature conker. (8 April 2021),Sarah Kendall,4,11
1,Prize: Best thing you can operate with your hand.,Episode 5: Slap and tong. (15 April 2021),Charlotte Ritchie,1,11
1,Prize: Best thing you can operate with your hand.,Episode 5: Slap and tong. (15 April 2021),Jamali Maddix,5,11
1,Prize: Best thing you can operate with your hand.,Episode 5: Slap and tong. (15 April 2021),Lee Mack,4,11
1,Prize: Best thing you can operate with your hand.,Episode 5: Slap and tong. (15 April 2021),Mike Wozniak,3,11
1,Prize: Best thing you can operate with your hand.,Episode 5: Slap and tong. (15 April 2021),Sarah Kendall,2,11
2,Cover your lower half in biodegradable clingfilm and gaffer tape so that no part of your lower half isn't covered in biodegradable cling film and gaffer tape.,Episode 5: Slap and tong. (15 April 2021),Charlotte Ritchie,3,11
2,Cover your lower half in biodegradable clingfilm and gaffer tape so that no part of your lower half isn't covered in biodegradable cling film and gaffer tape.,Episode 5: Slap and tong. (15 April 2021),Jamali Maddix,5,11
2,Cover your lower half in biodegradable clingfilm and gaffer tape so that no part of your lower half isn't covered in biodegradable cling film and gaffer tape.,Episode 5: Slap and tong. (15 April 2021),Lee Mack,1,11
2,Cover your lower half in biodegradable clingfilm and gaffer tape so that no part of your lower half isn't covered in biodegradable cling film and gaffer tape.,Episode 5: Slap and tong. (15 April 2021),Mike Wozniak,2,11
2,Cover your lower half in biodegradable clingfilm and gaffer tape so that no part of your lower half isn't covered in biodegradable cling film and gaffer tape.,Episode 5: Slap and tong. (15 April 2021),Sarah Kendall,4,11
2,Put on the captain's hat. Your lower half must be completely covered in biodegradable cling film and gaffer tape when wearing the captain's hat.,Episode 5: Slap and tong. (15 April 2021),Charlotte Ritchie,3,11
2,Put on the captain's hat. Your lower half must be completely covered in biodegradable cling film and gaffer tape when wearing the captain's hat.,Episode 5: Slap and tong. (15 April 2021),Jamali Maddix,5,11
2,Put on the captain's hat. Your lower half must be completely covered in biodegradable cling film and gaffer tape when wearing the captain's hat.,Episode 5: Slap and tong. (15 April 2021),Lee Mack,1,11
2,Put on the captain's hat. Your lower half must be completely covered in biodegradable cling film and gaffer tape when wearing the captain's hat.,Episode 5: Slap and tong. (15 April 2021),Mike Wozniak,2,11
2,Put on the captain's hat. Your lower half must be completely covered in biodegradable cling film and gaffer tape when wearing the captain's hat.,Episode 5: Slap and tong. (15 April 2021),Sarah Kendall,4,11
3,Make the best uniform for this bee. You must wear your beekeeping outfit throughout the task.,Episode 5: Slap and tong. (15 April 2021),Charlotte Ritchie,4,11
3,Make the best uniform for this bee. You must wear your beekeeping outfit throughout the task.,Episode 5: Slap and tong. (15 April 2021),Jamali Maddix,1,11
3,Make the best uniform for this bee. You must wear your beekeeping outfit throughout the task.,Episode 5: Slap and tong. (15 April 2021),Lee Mack,5,11
3,Make the best uniform for this bee. You must wear your beekeeping outfit throughout the task.,Episode 5: Slap and tong. (15 April 2021),Mike Wozniak,3,11
3,Make the best uniform for this bee. You must wear your beekeeping outfit throughout the task.,Episode 5: Slap and tong. (15 April 2021),Sarah Kendall,2,11
4,"Arrange the seven objects in a line on the table in order of how many sides they have. Fewest side on the left, most sides on your right. You may only touch the objects with your face. If anything falls from the table, you are disqualified. You must put on your darkness goggles now.",Episode 5: Slap and tong. (15 April 2021),Charlotte Ritchie,5,11
4,"Arrange the seven objects in a line on the table in order of how many sides they have. Fewest side on the left, most sides on your right. You may only touch the objects with your face. If anything falls from the table, you are disqualified. You must put on your darkness goggles now.",Episode 5: Slap and tong. (15 April 2021),Jamali Maddix,DQ,11
4,"Arrange the seven objects in a line on the table in order of how many sides they have. Fewest side on the left, most sides on your right. You may only touch the objects with your face. If anything falls from the table, you are disqualified. You must put on your darkness goggles now.",Episode 5: Slap and tong. (15 April 2021),Lee Mack,DQ,11
4,"Arrange the seven objects in a line on the table in order of how many sides they have. Fewest side on the left, most sides on your right. You may only touch the objects with your face. If anything falls from the table, you are disqualified. You must put on your darkness goggles now.",Episode 5: Slap and tong. (15 April 2021),Mike Wozniak,4,11
4,"Arrange the seven objects in a line on the table in order of how many sides they have. Fewest side on the left, most sides on your right. You may only touch the objects with your face. If anything falls from the table, you are disqualified. You must put on your darkness goggles now.",Episode 5: Slap and tong. (15 April 2021),Sarah Kendall,DQ,11
5,"Team Live: Grab the marshmallow with your tongs. When the Taskmaster says ""play"", you have 10 seconds to grab the marshmallow. Once your tongs are over the table, you must attempt to grab the marshmallow. If you successfully grab the marshmallow, you win.",Episode 5: Slap and tong. (15 April 2021),Charlotte Ritchie,4,11
5,"Team Live: Grab the marshmallow with your tongs. When the Taskmaster says ""play"", you have 10 seconds to grab the marshmallow. Once your tongs are over the table, you must attempt to grab the marshmallow. If you successfully grab the marshmallow, you win.",Episode 5: Slap and tong. (15 April 2021),Jamali Maddix,4,11
5,"Team Live: Grab the marshmallow with your tongs. When the Taskmaster says ""play"", you have 10 seconds to grab the marshmallow. Once your tongs are over the table, you must attempt to grab the marshmallow. If you successfully grab the marshmallow, you win.",Episode 5: Slap and tong. (15 April 2021),Lee Mack,2,11
5,"Team Live: Grab the marshmallow with your tongs. When the Taskmaster says ""play"", you have 10 seconds to grab the marshmallow. Once your tongs are over the table, you must attempt to grab the marshmallow. If you successfully grab the marshmallow, you win.",Episode 5: Slap and tong. (15 April 2021),Mike Wozniak,2,11
5,"Team Live: Grab the marshmallow with your tongs. When the Taskmaster says ""play"", you have 10 seconds to grab the marshmallow. Once your tongs are over the table, you must attempt to grab the marshmallow. If you successfully grab the marshmallow, you win.",Episode 5: Slap and tong. (15 April 2021),Sarah Kendall,4,11
5,"Bat away the marshmallow. When the Taskmaster says ""play"", you have 10 seconds to bat away the marshmallow. Your hand may not be over the table until the other player's tongs are over the table. If you bat away the marshmallow, you win.",Episode 5: Slap and tong. (15 April 2021),Charlotte Ritchie,4,11
5,"Bat away the marshmallow. When the Taskmaster says ""play"", you have 10 seconds to bat away the marshmallow. Your hand may not be over the table until the other player's tongs are over the table. If you bat away the marshmallow, you win.",Episode 5: Slap and tong. (15 April 2021),Jamali Maddix,4,11
5,"Bat away the marshmallow. When the Taskmaster says ""play"", you have 10 seconds to bat away the marshmallow. Your hand may not be over the table until the other player's tongs are over the table. If you bat away the marshmallow, you win.",Episode 5: Slap and tong. (15 April 2021),Lee Mack,2,11
5,"Bat away the marshmallow. When the Taskmaster says ""play"", you have 10 seconds to bat away the marshmallow. Your hand may not be over the table until the other player's tongs are over the table. If you bat away the marshmallow, you win.",Episode 5: Slap and tong. (15 April 2021),Mike Wozniak,2,11
5,"Bat away the marshmallow. When the Taskmaster says ""play"", you have 10 seconds to bat away the marshmallow. Your hand may not be over the table until the other player's tongs are over the table. If you bat away the marshmallow, you win.",Episode 5: Slap and tong. (15 April 2021),Sarah Kendall,4,11
1,Prize: Most annoying thing.,Episode 6: Absolute casserole. (22 April 2021),Charlotte Ritchie,2,11
1,Prize: Most annoying thing.,Episode 6: Absolute casserole. (22 April 2021),Jamali Maddix,5,11
1,Prize: Most annoying thing.,Episode 6: Absolute casserole. (22 April 2021),Lee Mack,1,11
1,Prize: Most annoying thing.,Episode 6: Absolute casserole. (22 April 2021),Mike Wozniak,3,11
1,Prize: Most annoying thing.,Episode 6: Absolute casserole. (22 April 2021),Sarah Kendall,4,11
S,Fart.,Episode 6: Absolute casserole. (22 April 2021),Charlotte Ritchie,–,11
S,Fart.,Episode 6: Absolute casserole. (22 April 2021),Jamali Maddix,–,11
S,Fart.,Episode 6: Absolute casserole. (22 April 2021),Lee Mack,–,11
S,Fart.,Episode 6: Absolute casserole. (22 April 2021),Mike Wozniak,1,11
S,Fart.,Episode 6: Absolute casserole. (22 April 2021),Sarah Kendall,–,11
2,Make the best portrait of the Taskmaster on this door using only your feet.,Episode 6: Absolute casserole. (22 April 2021),Charlotte Ritchie,3,11
2,Make the best portrait of the Taskmaster on this door using only your feet.,Episode 6: Absolute casserole. (22 April 2021),Jamali Maddix,5,11
2,Make the best portrait of the Taskmaster on this door using only your feet.,Episode 6: Absolute casserole. (22 April 2021),Lee Mack,1,11
2,Make the best portrait of the Taskmaster on this door using only your feet.,Episode 6: Absolute casserole. (22 April 2021),Mike Wozniak,2,11
2,Make the best portrait of the Taskmaster on this door using only your feet.,Episode 6: Absolute casserole. (22 April 2021),Sarah Kendall,4,11
3,Team: Vandalise this wall.,Episode 6: Absolute casserole. (22 April 2021),Charlotte Ritchie,1,11
3,Team: Vandalise this wall.,Episode 6: Absolute casserole. (22 April 2021),Jamali Maddix,1,11
3,Team: Vandalise this wall.,Episode 6: Absolute casserole. (22 April 2021),Lee Mack,5,11
3,Team: Vandalise this wall.,Episode 6: Absolute casserole. (22 April 2021),Mike Wozniak,5,11
3,Team: Vandalise this wall.,Episode 6: Absolute casserole. (22 April 2021),Sarah Kendall,1,11
4,"Identify the contents of the battered items in this fish and chips order. You may: lick and sniff all of the items, bite into two, squeeze one between your elbows, really stamp on one, look at one through a magnifying glass, and put one in a glass of water.",Episode 6: Absolute casserole. (22 April 2021),Charlotte Ritchie,3,11
4,"Identify the contents of the battered items in this fish and chips order. You may: lick and sniff all of the items, bite into two, squeeze one between your elbows, really stamp on one, look at one through a magnifying glass, and put one in a glass of water.",Episode 6: Absolute casserole. (22 April 2021),Jamali Maddix,5,11
4,"Identify the contents of the battered items in this fish and chips order. You may: lick and sniff all of the items, bite into two, squeeze one between your elbows, really stamp on one, look at one through a magnifying glass, and put one in a glass of water.",Episode 6: Absolute casserole. (22 April 2021),Lee Mack,1,11
